country,region,population,area,coastline,net migration,GDP,literacy,phones_per_1000,birthrate,deathrate,agriculture,industry,service
Niger ,SUB-SAHARAN AFRICA                 ,12525094,1267000,0,"-0,67",800,"17,6","1,9","50,73","20,91","0,39","0,17","0,44"
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768,"0,09","0,26",900,68,"9,3","40,43","16,94","0,269","0,487","0,244"
N. Mariana Islands ,OCEANIA                            ,82459,477,"310,69","9,61",12500,97,"254,7","19,43","2,29",,,
Norway ,WESTERN EUROPE                     ,4610820,323802,"7,77","1,74",37800,100,"461,7","11,46","9,4","0,021","0,415","0,564"
Oman ,NEAR EAST                          ,3102229,212460,"0,98","0,28",13100,"75,8","85,5","36,24","3,81","0,027","0,39","0,583"
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,803940,"0,13","-2,77",2100,"45,7","31,8","29,74","8,23","0,216","0,251","0,533"
Palau ,OCEANIA                            ,20579,458,"331,66","2,85",9000,92,"325,6","18,03","6,8","0,062","0,12","0,818"
Panama ,LATIN AMER. & CARIB    ,3191319,78200,"3,18","-0,91",6300,"92,6","137,9","21,74","5,36","0,068","0,156","0,776"
Papua New Guinea ,OCEANIA                            ,5670544,462840,"1,11",0,2200,"64,6","10,9","29,36","7,25","0,353","0,381","0,266"
Paraguay ,LATIN AMER. & CARIB    ,6506464,406750,0,"-0,08",4700,94,"49,2","29,1","4,49","0,224","0,207","0,569"
Peru ,LATIN AMER. & CARIB    ,28302603,1285220,"0,19","-1,05",5100,"90,9","79,5","20,48","6,23","0,08","0,27","0,65"
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,"12,1","-1,5",4600,"92,6","38,4","24,89","5,41","0,144","0,326","0,53"
Poland ,EASTERN EUROPE                     ,38536869,312685,"0,16","-0,49",11100,"99,8","306,3","9,85","9,89","0,05","0,311","0,64"
Portugal ,WESTERN EUROPE                     ,10605870,92391,"1,94","3,57",18000,"93,3","399,2","10,72","10,5","0,053","0,274","0,673"
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,13790,"3,63","-1,46",16800,"94,1","283,1","12,77","7,65","0,01","0,45","0,54"
Qatar ,NEAR EAST                          ,885359,11437,"4,92","16,29",21500,"82,5",232,"15,56","4,72","0,002","0,801","0,197"
Reunion ,SUB-SAHARAN AFRICA                 ,787584,2517,"8,22",0,5800,"88,9","380,9","18,9","5,49","0,08","0,19","0,73"
Romania ,EASTERN EUROPE                     ,22303552,237500,"0,09","-0,13",7000,"98,4","196,9","10,7","11,77","0,101","0,35","0,549"
Russia ,C.W. OF IND. STATES ,142893540,17075200,"0,22","1,02",8900,"99,6","280,6","9,95","14,65","0,054","0,371","0,575"
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,26338,0,0,1300,"70,4","2,7","40,37","16,09","0,401","0,229","0,37"
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413,"14,53",0,2500,97,"293,3","12,13","6,53",,,
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261,"51,72","-7,11",8800,97,"638,9","18,02","8,33","0,035","0,258","0,707"
Saint Lucia ,LATIN AMER. & CARIB    ,168458,616,"25,65","-2,67",5400,67,"303,3","19,68","5,08","0,07","0,2","0,73"
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242,"49,59","-4,86",6900,99,"683,2","13,52","6,83",,,
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,"21,59","-7,64",2900,96,"190,9","16,18","5,98","0,1","0,26","0,64"
Samoa ,OCEANIA                            ,176908,2944,"13,69","-11,7",5600,"99,7","75,2","16,43","6,62","0,114","0,584","0,302"
San Marino ,WESTERN EUROPE                     ,29251,61,0,"10,98",34600,96,"704,3","10,02","8,17",,,
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,"20,88","-2,72",1200,"79,3","36,2","40,25","6,47","0,167","0,148","0,684"
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,"0,13","-2,71",11800,"78,8","140,6","29,34","2,58","0,033","0,613","0,354"
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,"0,27","0,2",1600,"40,2","22,2","32,78","9,42","0,172","0,209","0,619"
Serbia ,EASTERN EUROPE                     ,9396411,88361,0,"-1,33",2200,93,"285,8",,,"0,166","0,255","0,579"
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,"107,91","-5,69",7800,58,"262,4","16,03","6,29","0,032","0,304","0,665"
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740,"0,56",0,500,"31,4",4,"45,76","23,03","0,49","0,31","0,21"
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,"27,85","11,53",23700,"92,5","411,4","9,34","4,28",0,"0,339","0,661"
Slovakia ,EASTERN EUROPE                     ,5439448,48845,0,"0,3",13300,,"220,1","10,65","9,45","0,035","0,294","0,672"
Slovenia ,EASTERN EUROPE                     ,2010347,20273,"0,23","1,12",19000,"99,7","406,1","8,98","10,31","0,028","0,369","0,603"
Solomon Islands ,OCEANIA                            ,552438,28450,"18,67",0,1700,,"13,4","30,01","3,92","0,42","0,11","0,47"
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,"0,47","5,37",500,"37,8","11,3","45,13","16,63","0,65","0,1","0,25"
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,"0,23","-0,29",10700,"86,4",107,"18,2",22,"0,025","0,303","0,671"
Spain ,WESTERN EUROPE                     ,40397842,504782,"0,98","0,99",22000,"97,9","453,5","10,06","9,72","0,04","0,295","0,665"
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,"2,04","-1,31",3700,"92,3","61,5","15,51","6,52","0,178","0,276","0,545"
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,"0,03","-0,02",1900,"61,1","16,3","34,53","8,97","0,387","0,203","0,41"
Suriname ,LATIN AMER. & CARIB    ,439117,163270,"0,24","-8,81",4000,93,"184,7","18,02","7,27","0,13","0,22","0,65"
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,0,0,4900,"81,6","30,8","27,41","29,74","0,119","0,515","0,366"
Sweden ,WESTERN EUROPE                     ,9016596,449964,"0,72","1,67",26800,99,715,"10,27","10,31","0,011","0,282","0,707"
Switzerland ,WESTERN EUROPE                     ,7523934,41290,0,"4,05",32700,99,"680,9","9,71","8,49","0,015","0,34","0,645"
Syria ,NEAR EAST                          ,18881361,185180,"0,1",0,3300,"76,9","153,8","27,76","4,81","0,249","0,23","0,519"
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,"4,35",0,23400,"96,1",591,"12,56","6,48","0,018","0,259","0,723"
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,0,"-2,86",1000,"99,4","33,5","32,65","8,25","0,234","0,286","0,48"
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,"0,15","-2,06",600,"78,2",4,"37,71","16,39","0,432","0,172","0,396"
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,"0,63",0,7400,"92,6","108,9","13,87","7,04","0,099","0,441","0,46"
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,"0,1",0,1500,"60,9","10,6","37,01","9,83","0,395","0,204","0,401"
Tonga ,OCEANIA                            ,114689,748,"56,02",0,2200,"98,5","97,7","25,37","5,28","0,23","0,27","0,5"
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,"7,06","-10,83",9500,"98,6","303,5","12,9","10,57","0,007","0,57","0,423"
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,"0,7","-0,57",6900,"74,2","123,6","15,52","5,13","0,132","0,318","0,55"
Turkey ,NEAR EAST                          ,70413958,780580,"0,92",0,6700,"86,5","269,5","16,62","5,97","0,117","0,298","0,585"
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,0,"-0,86",5800,98,"74,6","27,61","8,6","0,209","0,38","0,411"
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,"90,47","11,68",9600,98,"269,5","21,84","4,21",,,
Tuvalu ,OCEANIA                            ,11810,26,"92,31",0,1100,,"59,3","22,18","7,11","0,166","0,272","0,562"
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,0,0,1400,"69,9","3,6","47,35","12,24","0,311","0,222","0,469"
Ukraine ,C.W. OF IND. STATES ,46710816,603700,"0,46","-0,39",5400,"99,7","259,9","8,82","14,39","0,187","0,452","0,361"
United Arab Emirates ,NEAR EAST                          ,2602713,82880,"1,59","1,03",23200,"77,9","475,3","18,96","4,4","0,04","0,585","0,375"
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,"5,08","2,19",27700,99,"543,5","10,71","10,13","0,005","0,237","0,758"
United States ,NORTHERN AMERICA                   ,298444215,9631420,"0,21","3,41",37800,97,898,"14,14","8,26","0,01","0,204","0,787"
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,"0,37","-0,32",12800,98,"291,4","13,91","9,05","0,093","0,311","0,596"
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,0,"-1,72",1700,"99,3","62,9","26,36","7,84","0,342","0,229","0,43"
Vanuatu ,OCEANIA                            ,208869,12200,"20,72",0,2900,53,"32,6","22,72","7,82","0,26","0,12","0,62"
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,"0,31","-0,04",4800,"93,4","140,1","18,71","4,92","0,04","0,419","0,541"
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,"1,05","-0,45",2500,"90,3","187,7","16,86","6,22","0,209","0,41","0,381"
Virgin Islands ,LATIN AMER. & CARIB    ,108605,1910,"9,84","-8,94",17200,,"652,8","13,96","6,43","0,01","0,19","0,8"
Wallis and Futuna ,OCEANIA                            ,16025,274,"47,08",,3700,50,"118,6",,,,,
West Bank ,NEAR EAST                          ,2460492,5860,0,"2,98",800,,"145,2","31,67","3,92","0,09","0,28","0,63"
Western Sahara ,NORTHERN AFRICA                    ,273008,266000,"0,42",,,,,,,,,"0,4"
Yemen ,NEAR EAST                          ,21456188,527970,"0,36",0,800,"50,2","37,2","42,89","8,3","0,135","0,472","0,393"
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,0,0,800,"80,6","8,2",41,"19,93","0,22","0,29","0,489"
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,0,0,1900,"90,7","26,8","28,01","21,84","0,179","0,243","0,579"
